모델,τ,β_Z,p_β_Z,β_MM,p_β_MM,γ_Z,p_γ_Z,γ_MM,p_γ_MM,방향일치,유의성일치,종합판정
SP500+GPR,0.01,0.02552,0.0,0.44677,0.0,-0.00036,0.9555,-0.0029,0.9576,✅ 일치,✅ 유지,강건
SP500+GPR,0.025,0.02099,0.0,0.37044,0.0,0.00089,0.8432,0.01309,0.7282,✅ 일치,✅ 유지,강건
SP500+GPR,0.05,0.01786,0.0,0.31159,0.0,0.00138,0.6791,0.0091,0.7448,✅ 일치,✅ 유지,강건
SP500+GPR,0.1,0.01585,0.0,0.2781,0.0,0.00061,0.8103,0.00512,0.8106,✅ 일치,✅ 유지,강건
SP500+GPR,0.2,0.01303,0.0,0.22827,0.0,0.0008,0.6347,0.00673,0.6309,✅ 일치,✅ 유지,강건
SP500+GPR,0.25,0.01212,0.0,0.21102,0.0,0.00012,0.9399,0.00026,0.9836,✅ 일치,✅ 유지,강건
SP500+GPR,0.5,0.0109,0.0,0.18725,0.0,0.00072,0.4471,0.00784,0.3205,✅ 일치,✅ 유지,강건
SP500+GPR,0.75,0.00983,0.0,0.17132,0.0,0.00081,0.4989,0.00658,0.5137,✅ 일치,✅ 유지,강건
SP500+GPR,0.9,0.00938,0.0004,0.16532,0.0003,0.00288,0.2506,0.02394,0.2533,✅ 일치,✅ 유지,강건
SP500+GPR,0.95,0.00934,0.0013,0.16344,0.0013,0.00117,0.7268,0.00981,0.7266,✅ 일치,✅ 유지,강건
Gold+GPR,0.01,0.01449,0.0,0.23062,0.0,-0.02141,0.031,-0.17857,0.0311,✅ 일치,✅ 유지,강건
Gold+GPR,0.025,0.00689,0.0012,0.10962,0.0012,-0.00364,0.4876,-0.03033,0.4878,✅ 일치,✅ 유지,강건
Gold+GPR,0.05,0.00595,0.0005,0.09352,0.0006,-0.0008,0.831,-0.01108,0.7274,✅ 일치,✅ 유지,강건
Gold+GPR,0.1,0.00389,0.0051,0.06184,0.0051,0.00025,0.9231,0.00215,0.9221,✅ 일치,✅ 유지,강건
Gold+GPR,0.2,0.00354,0.0034,0.0566,0.0033,0.00072,0.6853,0.00612,0.6791,✅ 일치,✅ 유지,강건
Gold+GPR,0.25,0.00241,0.0393,0.03818,0.0398,0.00029,0.8508,0.00243,0.8511,✅ 일치,✅ 유지,강건
Gold+GPR,0.5,0.00375,0.0007,0.05907,0.0008,0.0006,0.5449,0.00521,0.5316,✅ 일치,✅ 유지,강건
Gold+GPR,0.75,0.00366,0.0019,0.05794,0.002,0.00113,0.3783,0.00935,0.383,✅ 일치,✅ 유지,강건
Gold+GPR,0.9,0.00166,0.2629,0.02666,0.2583,0.00182,0.4737,0.01544,0.4683,✅ 일치,✅ 유지,강건
Gold+GPR,0.95,0.00461,0.0087,0.07814,0.0053,0.00126,0.7258,0.00715,0.8116,✅ 일치,✅ 유지,강건
